;wind_cost;solarpv_cost;solarconc_cost;hydro_cost;coal_cost;gas_cost;total_cost
0;7.384665921606327;6.862846629530723;4.926709772224062;4.182236345358834;8.11589280039411;15.0;46.47235146911406
1;4.528132645787086;5.47558701493659;5.077607895353343;3.9037904220254656;13.22721045338401;15.0;47.2123284314865
2;5.240345897996988;5.2306122314591414;3.767706803776132;2.8326443053926726;11.85874207976476;15.0;43.930051318389694
3;5.642345484527366;5.234133252614374;4.324007777919535;4.080904057062759;10.345831177907995;15.0;44.62722175003203
4;5.0234055454277815;8.722587782097651;4.460299414039045;3.923726412450187;12.790018958300514;15.0;49.92003811231518
5;8.238336846495098;7.476805965257978;4.026906304707006;5.3951405195534825;13.63958297565754;15.0;53.776772611671106
6;6.465299853019463;6.742398265453317;4.098268837401972;4.166809835310953;9.692175859173602;15.0;46.16495265035931
7;5.395936489384678;9.354247200954905;4.588160083156185;3.5657867340816694;12.86590138084847;15.0;50.770031888425905
8;3.739957563096395;7.86680146644904;3.4352425925254866;6.225530743628369;14.167114290815247;15.0;50.43464665651454
9;8.010240536147798;7.202485988155142;4.975919365464976;2.4005457905228615;8.293569450643705;15.0;45.88276113093448
10;5.282226967609237;8.917340219268464;5.221686586299963;7.714721091414396;13.640714743061706;15.0;55.776689607653765
11;5.394796268202389;6.94404925250677;3.6271415511277576;3.4428787544749007;14.02845833424064;15.0;48.43732416055246
12;9.237276423855349;5.516812976484895;3.3731105948077023;4.65003821978745;13.539740691449504;15.0;51.316978906384904
13;8.62102015093894;4.901400035788974;3.7187162312106867;6.19698609325063;8.50188579387147;15.0;46.9400083050607
14;5.291167138755226;3.911260201069379;5.348485453617128;6.795311687285173;13.191656883547768;15.0;49.53788136427467
15;5.01346185412153;5.554341711505617;3.47689346898798;6.1032802623726745;10.271943989648165;15.0;45.41992128663597
16;5.904737193247697;6.430190452664871;3.0870023051807944;7.546185996612504;8.471459530038183;15.0;46.43957547774405
17;4.009384710002754;4.609248988125037;3.5577763708185075;4.054007643463955;10.13859593566306;15.0;41.36901364807331
18;4.009326443552623;7.064455760697734;3.7073313052330357;2.3989623594875527;10.027932672998947;15.0;42.20800854196989
19;5.321961938322848;4.321488500392344;3.487773279196901;7.097225405871988;9.942136002835468;15.0;45.17058512661955
20;4.786805751336792;6.0834401335361585;3.8021615010523977;3.7695923093798664;10.861727908818079;15.0;44.303727604123296
21;5.0791917768880115;9.258535185163883;3.3313919772707425;3.8947461382074744;14.78694710863202;15.0;51.35081218616213
22;5.114189011499369;3.4131967034311237;5.568864656296252;7.428790713729843;11.443928067745667;15.0;47.96896915270226
23;7.396856809080075;1.7991722384959907;3.5886722372655044;4.249715010513023;19.001400742227826;15.0;51.03581703758242
24;5.561779148378436;4.3931650370673525;4.269872876140674;2.195883283516411;8.372974925772828;15.0;39.7936752708757
25;4.999268205531424;5.340386836098404;5.022228323807017;7.948918481213642;13.142239111062862;15.0;51.45304095771335
26;4.733879057315941;5.6603373950819;2.819250044198852;5.229665010221495;8.395074861262456;15.0;41.83820636808065
27;4.710882651214169;4.348046095543615;4.252186734878866;7.943530463861187;9.799963147344673;15.0;46.05460909284251
28;6.717958740310272;2.440542982483163;3.377750662753608;5.998017734439793;19.846445212766085;15.0;53.38071533275292
29;6.103550357229282;6.081869080438929;3.3733577111020026;7.70698779109151;12.484730754820248;15.0;50.75049569468197
30;4.811713859484154;8.273608716072667;4.017176094545682;4.3881837593880695;13.986816797313972;15.0;50.47749922680455
31;3.3140780942681043;3.3728165136769372;4.397878857235142;6.77192687741827;12.171925560264409;15.0;45.02862590286286
32;7.321849143502899;6.73579910774242;4.603106006665047;4.811412270966506;14.601421173453728;15.0;53.0735877023306
33;3.372109660905183;6.01275263542058;2.8137133065084203;2.4631140729405097;18.585505439549873;15.0;48.247195115324566
34;4.025403833708542;7.265769874564604;3.4061840304301327;2.0904693862566246;12.204912240998098;15.0;43.992739365958
35;4.897088726803774;6.14582942810556;3.420919836850853;5.0390404278754755;16.597676492055225;15.0;51.10055491169089
36;8.253742086494986;5.27904438637727;3.543889722582482;2.6542048739656665;15.237171019561334;15.0;49.968052088981736
37;4.388661828089778;5.069568062853318;3.9181977199201903;5.772927134072273;19.17379883552989;15.0;53.32315358046545
38;6.8664415498996085;4.395347735591813;3.4252740822712;6.561658522478599;12.990636963495433;15.0;49.239358853736654
39;5.175524908892382;5.47873734364181;3.3970539779572135;3.738883454356114;7.580599312625536;15.0;40.37079899747306
40;3.6230230318989203;2.847264783966019;3.843618585995327;6.684775351867606;7.617939894570006;15.0;39.61662164829788
41;6.6066656730201165;3.3833668156164074;3.447851962131742;7.234888819663857;15.883267444144018;15.0;51.55604071457614
42;6.585438049649139;7.941842115700555;3.976165399174514;6.4449249715387005;12.471037215331746;15.0;52.41940775139465
43;7.350447114879805;6.701430365455381;3.839068368074965;2.4156199607008664;11.986052532935208;15.0;47.292618342046225
